OverNumber,Bowlers_Name,Bowler_Type,Batsman_Name,Runs,Delivery_Length,Delivery_Line,Shot_Field_Position
11,Sodhi,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOn
11,Sodhi,Spin,Babar Azam,0,ShortLength,OutsideOff,DeepCover
6,Santner,Spin,Babar Azam,1,GoodLength,Middle,DeepSquareLeg
6,Santner,Spin,Babar Azam,1,ShortLength,OutsideOff,DeepPoint
5,Paul,Fast,Babar Azam,4,GoodLength,Middle,DeepPoint
14,Emrit,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
4,Badree,Spin,Babar Azam,1,FullLength,Middle,LongOn
18,McCarthy,Fast,Babar Azam,1,GoodLength,Middle,DeepPoint
17,McCarthy,Fast,Babar Azam,4,GoodLength,OutsideOff,DeepBackwardPoint
13,Mohammed,Spin,Babar Azam,4,GoodLength,OutsideOff,DeepMidWicket
8,Emrit,Fast,Babar Azam,4,ShortLength,OutsideOff,DeepPoint
7,Boult,Fast,BabarAzam,-1,FullLength,OutsideOff,LongOn
4,Ferguson,Fast,BabarAzam,0,GoodLength,Middle,DeepSquareLeg
3,Ferguson,Fast,BabarAzam,1,GoodLength,OutsideOff,DeepCover
3,Sodhi,Spin,BabarAzam,2,Yorker,Off,DeepBackwardPoint
2,Sodhi,Spin,BabarAzam,1,GoodLength,OutsideOff,DeepPoint
1,Santner,Spin,BabarAzam,1,Yorker,Off,DeepMidWicket
12,Santner,Spin,BabarAzam,0,FullLength,OutsideOff,DeepCover
4,Boult,Fast,BabarAzam,1,FullLength,Off,DeepSquareLeg
16,MichaelBracewell,Spin,BabarAzam,0,ShortLength,OutsideOff,DeepCover
15,MichaelBracewell,Spin,BabarAzam,0,FullLength,Middle,DeepMidWicket
15,Boult,Fast,BabarAzam,1,FullLength,OutsideOff,LongOff
13,Southee,Fast,BabarAzam,0,GoodLength,OutsideOff,DeepMidWicket
11,Boult,Fast,BabarAzam,0,GoodLength,OutsideOff,DeepCover
6,Sodhi,Spin,BabarAzam,1,FullLength,Middle,LongOn
